Algorithm,Set,RMSE,IFT_Actual,IFT_Prediction,Residual,Standarized,Set Overall Results,R,RMSE,
XGB,Training,0.00070741,31.8,31.82659718,-0.026597175,-0.037834341,,,,
XGB,Training,0.000472789,8.67,8.648256279,0.021743721,-0.008165014,,,,
XGB,Testing,2.87411E-06,0.92,0.921695319,-0.001695319,-0.022550774,,,,
XGB,Testing,5.583521562,4.4,6.762947643,-2.362947643,-1.471774342,,,,
XGB,Testing,0.26610199,14.513,15.02885074,-0.515850744,-0.338114745,,,,
XGB,Testing,0.000166786,1.75,1.762914559,-0.012914559,-0.029436606,,,,
XGB,Testing,0.08368163,3.71,3.420722227,0.289277773,0.156034572,,,,
XGB,Testing,1.614043353,31.13,29.85954994,1.270450059,0.758231121,,,,
XGB,Testing,0.005067135,2.31,2.381183811,-0.071183811,-0.065199482,,,,
XGB,Testing,4.332076651,6.299,8.380364132,-2.081364132,-1.298951872,,,,
XGB,Testing,3.394086025,6.46,8.302304542,-1.842304542,-1.152228547,,,,
XGB,Testing,2.26421133,10.75,9.245270346,1.504729654,0.902020714,,,,
XGB,Testing,0.885124899,12.818,13.75881077,-0.940810767,-0.598934851,,,,
XGB,Testing,0.074851643,21.8,22.07359028,-0.273590283,-0.189426879,,,,
XGB,Testing,12.47106,20.927,17.3955612,3.531438801,2.145917706,,,,
XGB,Testing,9.576090722,10.172,13.26652593,-3.094525928,-1.92078205,,,,
XGB,Testing,0.012514741,26.2,26.3118693,-0.111869302,-0.090170287,,,,
XGB,Testing,7.95535E-06,1.05,1.052820522,-0.002820522,-0.02324137,,,,
XGB,Testing,0.49655753,2.75,2.045331617,0.704668383,0.41098143,,,,
XGB,Testing,6.32607014,13.173,15.68816801,-2.515168014,-1.565199915,,,,
XGB,Testing,0.000381233,5.8,5.819525182,-0.019525182,-0.03349389,,,,
XGB,Testing,0.134202837,9.765,9.398662946,0.366337054,0.203329867,,,,
XGB,Testing,0.018854407,20.8,20.93731135,-0.13731135,-0.105785397,,,,
XGB,Testing,13.86000478,15,18.72290274,-3.722902735,-2.306449634,,,,
XGB,Testing,0.001677506,6.1,6.059042633,0.040957367,0.003627402,,,,
XGB,Testing,2.051417921,4.36,5.79227718,-1.43227718,-0.900573393,,,,
XGB,Testing,0.108233665,16.9,17.22898885,-0.328988853,-0.223427867,,,,
XGB,Testing,0.110840417,13.38,13.71292704,-0.332927044,-0.22584494,,,,
XGB,Testing,13.34689783,15.5,19.15334064,-3.65334064,-2.263755752,,,,
XGB,Testing,5.342944208,11.746,9.434519044,2.311480956,1.397166018,,,,
XGB,Testing,0.949480688,11.17,12.144413,-0.974412997,-0.61955829,,,,
XGB,Testing,4.368211725,19.57,17.47997327,2.090026728,1.261248022,,,,
XGB,Testing,0.160989977,4.78,5.181235563,-0.401235563,-0.267769437,,,,
XGB,Testing,5.770258088,12.864,10.46186385,2.402136151,1.452805835,,,,
XGB,Testing,0.000381233,5.8,5.819525182,-0.019525182,-0.03349389,,,,
XGB,Testing,4.374101393,19.68,21.77143525,-2.091435247,-1.30513304,,,,
XGB,Testing,2.156132951,11.412,9.943622341,1.468377659,0.879709601,,,,
XGB,Testing,0.003726396,15,15.06104421,-0.061044212,-0.058976281,,,,
XGB,Testing,2.690231686,14.768,13.12780742,1.640192576,0.985161367,,,,
XGB,Testing,2.700642864,7.2,8.843363278,-1.643363278,-1.030127929,,,,
XGB,Testing,5.166868589,16.017,18.2900747,-2.273074699,-1.416614635,,,,
XGB,Testing,74.55310748,16.29,7.655585863,8.634414137,5.277879526,,,,
XGB,Testing,0.202858483,8.3,7.849601861,0.450398139,0.254922534,,,,
XGB,Testing,3.110941937,18.248,20.01178625,-1.76378625,-1.104037781,,,,
XGB,Testing,1.403086038,15.019,16.20351933,-1.184519328,-0.748511491,,,,
XGB,Testing,1.021186537,2.611,3.621537746,-1.010537746,-0.641729931,,,,
XGB,Testing,0.537651807,2.016,2.749247439,-0.733247439,-0.471542423,,,,
XGB,Testing,184.0768143,26.1,12.53250892,13.56749108,8.305565852,,,,
XGB,Testing,1.452458173,25.7,24.49482027,1.205179726,0.718171318,,,,
XGB,Testing,0.06137515,24.2,23.95225991,0.247740086,0.130540729,,,,
XGB,Testing,4.030197778,12.966,10.95846475,2.007535249,1.210618703,,,,
XGB,Testing,0.038063633,4.4,4.595099033,-0.195099033,-0.141252709,,,,
XGB,Testing,5.107479188,15.22,17.47997327,-2.259973272,-1.408573606,,,,
XGB,Testing,0.000292925,12.76,12.74288496,0.017115039,-0.011005877,,,,
XGB,Testing,0.06302863,10,9.748944967,0.251055033,0.132575285,,,,
XGB,Testing,0.122822911,2.645,2.294539001,0.350460999,0.193585905,,,,
XGB,Testing,0.50960173,6.215,6.928863943,-0.713863943,-0.459645762,,,,
XGB,Testing,0.032721638,7.749,7.929891231,-0.180891231,-0.132532641,,,,
XGB,Testing,57.20003035,19.68,27.24307017,-7.563070167,-4.663360453,,,,
XGB,Testing,0.06302863,10,9.748944967,0.251055033,0.132575285,,,,
